CONTROL,PER,REGION,METRO3,VALUE,ZINC2,ROOMS,ZADEQ,UTILITY,FMTZADEQ
'356711130147',4,'4','1',2465647,466964,9,'1',326,1 Adequate
'201103190149',2,'2','2',400000,465774,6,'1',318.3333333,1 Adequate
'731850870143',3,'4','1',2465647,465064,8,'1',370.3333333,1 Adequate
'578336830133',5,'2','2',200000,464964,7,'1',233.3333333,1 Adequate
'501336030133',5,'2','2',1000000,463214,9,'1',394,1 Adequate
'486649020144',2,'3','1',1000000,462964,5,'1',219.5,1 Adequate
'401962530145',3,'1','3',275000,462964,10,'1',297.9166667,1 Adequate
'452502230133',4,'2','2',300000,459964,9,'1',281,1 Adequate
'301387780144',4,'4','1',250000,458014,8,'1',324.6666667,1 Adequate
'733037380146',4,'4','2',2465647,457975,15,'1',1029.833333,1 Adequate
'205493130144',4,'4','2',1000000,457964,7,'1',247,1 Adequate
'200107360148',6,'2','4',350000,457488,10,'1',290.3333333,1 Adequate
'200243230103',4,'3','2',380000,457438,11,'1',339,1 Adequate
'733778660145',3,'4','1',525000,456964,3,'1',18,1 Adequate
'200574130103',2,'4','1',777000,453463,8,'1',420.0833333,1 Adequate
'401502030103',4,'2','2',398000,452964,8,'1',548,1 Adequate
'487927740149',3,'3','1',350000,452964,8,'1',524.3333333,1 Adequate
'735294430143',5,'3','3',900000,452964,10,'1',664.3333333,1 Adequate
'730545620142',2,'4','1',400000,452438,8,'1',133.3333333,1 Adequate
'200629950141',2,'4','1',650000,451964,9,'1',457.1666667,1 Adequate
'382850970143',3,'4','1',400000,451764,6,'1',221.4166667,1 Adequate
'101596330333',2,'2','1',450000,450964,4,'1',62,1 Adequate
'400758300142',2,'1','2',500000,448739,8,'1',473.8333333,1 Adequate
'389078020143',2,'2','1',180000,448438,7,'1',212,1 Adequate
'584294560149',5,'3','2',1000000,447964,9,'1',728,1 Adequate
'288657940145',5,'2','2',450000,445698,7,'1',426.25,1 Adequate
'601583130133',5,'1','3',575000,441600,10,'1',468.8333333,1 Adequate
'730933230142',2,'2','3',350000,440764,7,'1',185.6666667,1 Adequate
'400515300148',5,'3','2',800000,438464,11,'1',446,1 Adequate
'500231760142',4,'1','3',425000,438064,8,'1',479.5,1 Adequate
'733288370347',4,'2','1',700000,437984,6,'1',112,1 Adequate
'200757330146',4,'1','3',400000,437964,7,'1',581.1666667,1 Adequate
'199237950447',4,'3','3',315000,437964,8,'1',259,1 Adequate
'500963230103',5,'4','2',850000,437964,8,'1',548.6666667,1 Adequate
'732873790142',2,'2','2',845000,437964,10,'1',304.6666667,1 Adequate
'483944490143',3,'3','2',320000,437564,8,'1',261.8333333,1 Adequate
'488790890147',2,'3','2',400000,437438,5,'1',183.6666667,1 Adequate
'730101800146',4,'2','5',95000,437438,8,'1',122,1 Adequate
'486963370146',2,'4','2',575000,436964,6,'1',286.1666667,1 Adequate
'287944330149',4,'3','2',350000,436264,8,'1',344.5833333,1 Adequate
'188717970148',3,'3','1',250000,436000,8,'1',354,1 Adequate
'300003130103',2,'1','2',400000,434964,7,'1',319.0833333,1 Adequate
'730206750146',5,'1','3',1300000,434464,9,'1',362,1 Adequate
'595206930133',2,'1','2',600000,432964,6,'1',337.8333333,1 Adequate
'601261100146',4,'4','1',500000,432438,9,'1',312,1 Adequate
'398206630133',2,'1','2',450000,431964,7,'1',493.3333333,1 Adequate
'732597320144',5,'1','3',1200000,431494,10,'1',554,1 Adequate
'731359040146',4,'1','3',330000,431464,7,'1',216,1 Adequate
'600306530103',5,'3','1',858000,428464,13,'1',639,1 Adequate
'699026970146',2,'1','3',180000,428082,4,'1',138.6666667,1 Adequate
'386336730133',4,'2','2',425000,427964,9,'1',374,1 Adequate
'502502030133',4,'2','2',900000,427964,15,'1',566,1 Adequate
'600622130103',4,'2','2',430000,427964,9,'1',309,1 Adequate
'730611040144',2,'4','2',1300000,427964,8,'1',300.3333333,1 Adequate
'188389900149',2,'3','2',1000000,427964,8,'1',458.5,1 Adequate
'300747230133',2,'1','3',380000,427438,8,'1',245.0833333,1 Adequate
'200530130103',4,'3','2',1300000,427014,10,'1',270.6666667,1 Adequate
'188493410141',2,'4','2',140000,424364,3,'1',56,1 Adequate
'699376950345',2,'1','3',265000,423964,11,'1',331.3333333,1 Adequate
'689504780142',2,'1','2',170000,423364,8,'1',183,1 Adequate
'190206930133',4,'1','2',650000,422748,9,'1',520,1 Adequate
'209579180145',3,'4','3',1000000,422438,8,'1',405,1 Adequate
'683169490140',3,'4','1',680000,421495,8,'1',670.0833333,1 Adequate
'201141170145',2,'1','2',250000,420908,8,'1',422.25,1 Adequate
'731242110142',3,'1','2',1385000,420438,8,'1',531.6666667,1 Adequate
'154583430133',2,'1','2',225000,419438,7,'1',264,1 Adequate
'388558570148',3,'3','2',800000,419438,7,2,184.3333333,2 Moderately Inadequ
'730040090140',2,'2','2',270000,419164,6,'1',465.5,1 Adequate
'202944340140',3,'3','2',530000,418264,11,'1',295,1 Adequate
'358929330240',3,'4','1',1000000,417964,4,'1',200,1 Adequate
'378778580145',2,'4','2',500000,417964,4,'1',64,1 Adequate
'687926050141',2,'3','1',750000,417964,8,'1',296.3333333,1 Adequate
'605336130143',3,'2','2',2465647,417964,11,'1',487.6666667,1 Adequate
'400029130103',4,'3','2',825000,417964,6,'1',342.3333333,1 Adequate
'100431530143',2,'1','5',150000,417625,7,'1',126,1 Adequate
'200848130103',3,'3','2',400000,416939,7,'1',423.5,1 Adequate
'730152130145',3,'3','2',675000,416506,12,'1',467.3333333,1 Adequate
'682670720144',5,'4','2',900000,416464,9,'1',291.1666667,1 Adequate
'186755760149',3,'3','1',235000,413464,6,'1',262,1 Adequate
