CONTROL,PER,REGION,METRO3,VALUE,ZINC2,ROOMS,ZADEQ,UTILITY,FMTZADEQ
'733497880147',3,'4','2',600000,260038,9,'1',554.1666667,1 Adequate
'732932920148',2,'2','2',460000,260005,10,'1',271,1 Adequate
'188281910141',5,'1','2',650000,260000,9,'1',373,1 Adequate
'189226100149',2,'2','2',130000,260000,7,'1',273.3333333,1 Adequate
'272500480145',2,'1','1',425000,260000,7,'1',386.6666667,1 Adequate
'285486140141',6,'1','2',550000,260000,9,'1',720.25,1 Adequate
'735828030140',4,'2','2',360000,260000,8,'1',308.6666667,1 Adequate
'100853370149',2,'4','3',200000,259638,6,'1',238.6666667,1 Adequate
'559583930133',5,'1','2',500000,259438,9,'1',580.3333333,1 Adequate
'733670780147',5,'4','2',2465647,259280,13,'1',389.5,1 Adequate
'587622950149',2,'2','2',230000,259191,8,'1',235.0833333,1 Adequate
'730381140141',3,'3','3',300000,259000,10,2,171.6666667,2 Moderately Inadequ
'399404130133',3,'1','2',340000,259000,6,'1',504,1 Adequate
'404089790141',3,'4','2',375000,259000,8,'1',397.3333333,1 Adequate
'600828230103',3,'2','2',435000,259000,9,'1',253.6666667,1 Adequate
'201319830103',4,'3','2',1200000,259000,10,'1',460.5833333,1 Adequate
'300302170149',5,'4','1',800000,258638,10,'1',382.5,1 Adequate
'671037950140',1,'4','2',700000,258638,5,'3',153,3 Severely Indadequa
'733474050243',2,'4','2',2465647,258638,7,'1',157,1 Adequate
'686196550146',3,'2','2',160000,258438,8,'1',277.3333333,1 Adequate
'289676550140',2,'2','4',200000,258314,8,'1',132.6666667,1 Adequate
'500853130103',6,'4','1',225000,258113,7,'1',610.25,1 Adequate
'199036939388',2,'2','3',160000,258095,6,'1',300,1 Adequate
'286515990145',5,'3','2',130000,258038,8,'1',381.25,1 Adequate
'601433770143',3,'3','2',200000,258000,11,'1',274,1 Adequate
'735282580147',5,'2','2',600000,258000,7,'1',698.8333333,1 Adequate
'100153770147',3,'4','1',500000,257838,7,'1',281.1666667,1 Adequate
'730305720143',4,'4','5',350000,257838,9,'1',616.5833333,1 Adequate
'666502930133',2,'2','2',200000,257638,7,'1',186.6666667,1 Adequate
'730401110147',3,'2','1',800000,257638,12,'1',668.0833333,1 Adequate
'288550190148',2,'1','2',325000,257538,7,'1',417.3333333,1 Adequate
'730799110240',1,'3','2',200000,257438,4,'1',0,1 Adequate
'100239130103',1,'4','1',550000,257438,5,'1',150,1 Adequate
'100381430133',1,'1','2',300000,257438,6,'1',366.3333333,1 Adequate
'100853580142',1,'4','1',550000,257438,4,'1',154.1666667,1 Adequate
'200950770143',1,'3','3',135000,257438,5,'1',87,1 Adequate
'183037140149',2,'4','2',1200000,257438,10,2,638,2 Moderately Inadequ
'184611770147',4,'4','1',825000,257438,6,'1',494,1 Adequate
'185963860140',1,'4','2',1000000,257438,7,'1',474,1 Adequate
'186583230133',1,'1','2',90000,257438,3,'1',0,1 Adequate
'189045190148',2,'4','2',380000,257438,8,'1',181,1 Adequate
'288512430143',1,'3','2',70000,257438,4,'1',119,1 Adequate
'189226390147',2,'4','1',750000,257438,12,'1',654.5,1 Adequate
'307755120140',1,'3','3',225000,257438,5,'1',119.8333333,1 Adequate
'189654340143',2,'4','1',1300000,257438,5,'1',459.1666667,1 Adequate
'189987970145',1,'1','1',2465647,257438,5,'1',0,1 Adequate
'197273930133',2,'1','2',65000,257438,8,'1',812.3333333,1 Adequate
'200100300143',5,'1','3',2465647,257438,8,'1',458.3333333,1 Adequate
'201229160142',1,'2','3',160000,257438,8,'1',214.3333333,1 Adequate
'205358110147',3,'4','2',800000,257438,5,'1',158,1 Adequate
'731799460149',2,'3','2',80000,257438,6,'1',163,1 Adequate
'286987010142',3,'1','1',700000,257438,4,'1',241,1 Adequate
'288043950145',3,'4','3',290000,257438,5,'1',408.8333333,1 Adequate
'100349190145',1,'3','1',600000,257438,5,'1',169,1 Adequate
'289654580143',4,'4','1',600000,257438,8,'3',885.8333333,3 Severely Indadequa
'291206430133',2,'1','3',900000,257438,9,'1',525.6666667,1 Adequate
'291336630133',6,'2','2',460000,257438,8,'1',670.8333333,1 Adequate
'298273230133',1,'1','2',200000,257438,5,'1',237,1 Adequate
'400508130103',2,'3','2',450000,257438,6,'1',190,1 Adequate
'199957859386',1,'3','5',750000,257438,10,'1',195.3333333,1 Adequate
'300574130103',2,'4','2',600000,257438,7,'1',822.25,1 Adequate
'300657590240',1,'4','4',360000,257438,7,'1',218.6666667,1 Adequate
'301542120142',3,'4','3',1000000,257438,8,'1',1074.083333,1 Adequate
'303493580141',1,'4','2',600000,257438,8,'1',142.8333333,1 Adequate
'360929520143',1,'4','1',550000,257438,5,'1',52,1 Adequate
'699570938386',1,'3','5',300000,257438,8,'1',203.6666667,1 Adequate
'387963300143',1,'4','2',2465647,257438,10,'1',332,1 Adequate
'599105878484',2,'3','5',600000,257438,10,'1',215,1 Adequate
'399489800441',2,'4','5',18000,257438,5,'1',365.5,1 Adequate
'399510780147',1,'2','3',150000,257438,6,'1',295.3333333,1 Adequate
'731633430146',1,'3','1',400000,257438,5,'1',224.8333333,1 Adequate
'400113130103',1,'2','4',60000,257438,5,'1',234,1 Adequate
'699882888183',1,'3','2',200000,257438,7,'1',230,1 Adequate
'400269230103',1,'4','2',685000,257438,9,'1',591.6666667,1 Adequate
'400365230103',1,'2','2',218000,257438,6,'1',143,1 Adequate
'402239390147',5,'3','3',450000,257438,6,'1',233.5,1 Adequate
'731649580145',1,'3','1',2465647,257438,7,2,234,2 Moderately Inadequ
'401850140140',2,'4','2',2465647,257438,9,'1',778.5,1 Adequate
'460929360143',2,'4','1',1000000,257438,9,'1',749.1666667,1 Adequate
'483037110149',2,'4','2',1010000,257438,7,'1',560,1 Adequate
'487053260140',1,'1','1',2465647,257438,5,'1',124,1 Adequate
'299292750245',1,'3','3',950000,257438,6,'1',250,1 Adequate
'499276810143',1,'1','5',180000,257438,5,'1',109,1 Adequate
'488257930146',1,'3','1',430000,257438,7,'1',261.9166667,1 Adequate
'499512958488',2,'2','5',140000,257438,7,'1',209,1 Adequate
'730890180145',2,'3','2',311000,257438,6,'1',265.6666667,1 Adequate
'499948940348',1,'1','3',115000,257438,6,2,129,2 Moderately Inadequ
'730220180148',2,'3','2',191000,257438,6,'1',269.1666667,1 Adequate
'199901970344',2,'3','5',65000,257438,5,'1',271,1 Adequate
'500365230103',2,'2','1',289000,257438,7,'1',203.6666667,1 Adequate
'500796570149',5,'1','2',2465647,257438,11,'1',1063,1 Adequate
'600610330148',1,'3','5',350000,257438,8,'1',275,1 Adequate
'501410360140',2,'4','1',430000,257438,8,'1',326,1 Adequate
'189059140147',1,'3','1',120000,257438,6,'1',276,1 Adequate
'587796910143',2,'1','2',560000,257438,5,'1',318,1 Adequate
'730299470140',3,'3','5',1000000,257438,5,'1',283,1 Adequate
'599129530123',1,'4','2',1200000,257438,4,'1',108.3333333,1 Adequate
'599887700346',2,'2','5',250000,257438,10,'1',451,1 Adequate
'601336930133',5,'2','3',600000,257438,9,'1',427.6666667,1 Adequate
'601468980449',2,'2','3',1199000,257438,8,'1',512.6666667,1 Adequate
'666383590244',2,'4','1',850000,257438,4,'1',73,1 Adequate
'681502130133',2,'2','2',900000,257438,13,'1',735.5,1 Adequate
'686103390149',1,'2','1',517000,257438,9,'1',374.6666667,1 Adequate
'687379640141',2,'1','1',1200000,257438,5,'1',151,1 Adequate
'687828840140',1,'2','2',280000,257438,5,'1',49,1 Adequate
'689204760142',2,'2','1',220000,257438,11,'1',223,1 Adequate
'199031900248',2,'3','5',325000,257438,9,'1',323.6666667,1 Adequate
'199925880341',4,'3','3',300000,257438,8,'1',324,1 Adequate
'689733390149',1,'4','2',325000,257438,4,'1',248,1 Adequate
'731005560147',4,'3','2',225000,257438,6,'1',325,1 Adequate
'489031700142',1,'3','4',160000,257438,6,'1',325.5,1 Adequate
'689921530240',3,'1','1',400000,257438,5,'1',133,1 Adequate
'730192680148',1,'3','1',435000,257438,9,'1',330,1 Adequate
'733120310148',6,'3','5',525000,257438,10,'1',331,1 Adequate
'699141900342',1,'1','2',150000,257438,8,'1',282,1 Adequate
'601248920142',5,'3','3',120000,257438,8,'1',335.9166667,1 Adequate
'730230340148',2,'3','2',1000000,257438,10,'1',340,1 Adequate
'399953870241',1,'3','5',1000000,257438,7,'1',341.9166667,1 Adequate
'699743888084',1,'1','5',140000,257438,5,'1',337.3333333,1 Adequate
'699765940241',5,'1','4',380000,257438,8,'1',370,1 Adequate
'732029850146',4,'3','2',600000,257438,9,'1',352.3333333,1 Adequate
'204638920147',2,'3','1',150000,257438,7,'1',356.0833333,1 Adequate
'730015000147',2,'2','2',600000,257438,12,'1',588,1 Adequate
'730121960145',2,'2','2',225000,257438,9,'1',261,1 Adequate
'730142360144',1,'1','2',195000,257438,7,'1',234,1 Adequate
'730448510142',1,'2','3',325000,257438,4,'1',231.3333333,1 Adequate
'500580130103',1,'3','5',350000,257438,7,'1',375.5,1 Adequate
'730685870144',2,'4','4',275000,257438,5,'1',164.6666667,1 Adequate
'278321330146',1,'3','2',50000,257438,4,'1',388.0833333,1 Adequate
'730802120144',1,'1','5',1200000,257438,12,'1',510.6666667,1 Adequate
'730807040146',2,'4','4',2465647,257438,3,'1',793.0833333,1 Adequate
'730976730241',5,'1','2',300000,257438,7,'1',259.6666667,1 Adequate
'185558860148',4,'3','2',840000,257438,8,'1',419.3333333,1 Adequate
'600774940143',5,'3','1',400000,257438,9,'1',436.0833333,1 Adequate
'731871450143',1,'4','1',800000,257438,10,'1',352,1 Adequate
'301558390145',1,'3','1',500000,257438,8,'1',463.8333333,1 Adequate
'732037760140',5,'4','2',1400000,257438,9,'1',526.6666667,1 Adequate
'189937540147',3,'3','1',400000,257438,7,'1',471.0833333,1 Adequate
'499338740346',2,'3','5',150000,257438,9,'1',484.1666667,1 Adequate
'286926150144',1,'3','1',125000,257438,7,'1',490.3333333,1 Adequate
'733129990146',1,'4','2',410000,257438,9,'1',320,1 Adequate
'400207340146',2,'3','4',435000,257438,9,'1',517,1 Adequate
'733474940146',1,'4','2',1000003,257438,7,'1',432.6666667,1 Adequate
'730700410146',1,'3','3',390000,257438,6,'1',533.1666667,1 Adequate
'734129910143',1,'4','1',250000,257438,2,'1',52,1 Adequate
'731806110145',7,'3','2',370000,257438,10,'1',552.5,1 Adequate
'289173290140',3,'3','1',700000,257438,9,'1',604,1 Adequate
'689924360140',6,'3','1',400000,257438,11,'1',706,1 Adequate
'739295610143',6,'4','2',300000,257438,9,'1',400.3333333,1 Adequate
'688389860140',6,'3','2',300000,257438,11,'1',747.8333333,1 Adequate
'743261810149',1,'4','1',220000,257438,7,'1',123,1 Adequate
'501226140147',3,'4','2',400000,257140,8,'1',267.1666667,1 Adequate
'486879750145',2,'1','3',400000,257000,10,'1',787.3333333,1 Adequate
'738336930146',5,'2','2',280000,257000,10,'1',339,1 Adequate
'100336900149',4,'2','2',650000,256700,10,'1',221.25,1 Adequate
'600503230103',2,'4','1',700000,256556,9,'1',345.3333333,1 Adequate
'731903700142',5,'1','2',500000,256461,7,'1',411.3333333,1 Adequate
'733358790147',3,'4','1',480000,255600,4,'1',343,1 Adequate
'199497910440',2,'2','5',250000,255000,7,'1',161.5833333,1 Adequate
'486806600142',5,'3','2',325000,255000,7,'1',305,1 Adequate
'699381730133',6,'1','2',425000,255000,8,'1',429.6666667,1 Adequate
'556502630133',2,'2','2',250000,254075,7,'1',185.6666667,1 Adequate
'303751570145',2,'3','2',450000,254000,9,'1',484,1 Adequate
'302141340142',5,'1','2',375000,253500,9,'1',345.6666667,1 Adequate
'588336730133',5,'2','1',350000,253100,10,'1',265.3333333,1 Adequate
'496381530133',6,'1','2',365000,252800,9,'1',763.3333333,1 Adequate
'298938330133',2,'1','2',320000,252500,7,'1',265.6666667,1 Adequate
'200306180149',3,'3','1',350000,252124,8,'1',360.75,1 Adequate
'600130310144',3,'1','2',525000,252000,7,'1',134,1 Adequate
'100751780145',4,'3','2',712000,252000,8,'1',448.6666667,1 Adequate
'200499130103',3,'3','2',230000,252000,8,'1',481.4166667,1 Adequate
'741321650145',2,'4','2',300000,251716,8,'1',190.1666667,1 Adequate
'399659937088',5,'3','3',250000,251200,6,'1',247,1 Adequate
'299499780440',2,'3','3',235000,250500,9,'1',310,1 Adequate
'587850140146',3,'4','2',890000,250400,7,'1',513,1 Adequate
'300791230103',3,'1','2',600000,250350,6,'1',213.6666667,1 Adequate
'389849170140',3,'3','2',800000,250136,6,'1',324.6666667,1 Adequate
'300847110142',2,'4','4',225000,250000,4,'1',155,1 Adequate
'399799980242',4,'1','2',700000,250000,7,'1',620.25,1 Adequate
'288790730147',3,'3','2',800000,250000,7,'1',268.25,1 Adequate
'600529340148',3,'3','3',250000,250000,9,'1',295.1666667,1 Adequate
'604778730142',5,'4','2',1000000,250000,8,'1',245.5,1 Adequate
'289839170143',4,'3','1',300000,250000,8,'1',328.75,1 Adequate
'500396130103',3,'3','4',265000,250000,6,'1',332.25,1 Adequate
'734250910147',4,'3','3',300000,250000,9,'1',385.75,1 Adequate
'735389030143',5,'3','1',1250000,250000,8,'1',391.5,1 Adequate
'730755340142',2,'3','1',604000,250000,9,'1',479.1666667,1 Adequate
'613926160147',2,'3','3',275000,250000,8,'1',626.4166667,1 Adequate
'186778570148',3,'4','2',660000,249999,6,'1',238.1666667,1 Adequate
'200623230203',2,'3','5',1300000,249860,7,'1',166,1 Adequate
'730401290147',5,'2','1',235000,249800,11,'1',464.0833333,1 Adequate
'399536935587',3,'3','3',400000,249400,7,'1',272.6666667,1 Adequate
'685206630133',2,'1','2',600000,249000,8,'1',342.3333333,1 Adequate
'684583730133',2,'1','2',350000,248500,6,'1',293.1666667,1 Adequate
'733890630144',2,'4','3',300000,248020,5,'1',147,1 Adequate
'183903100148',2,'1','2',600000,248000,8,'1',412.9166667,1 Adequate
'689044770148',4,'3','2',100000,247154,7,'1',312,1 Adequate
'730424420143',2,'4','5',300000,247000,6,'1',116.1666667,1 Adequate
'287294310149',5,'3','2',312000,247000,8,'1',498,1 Adequate
'689309250142',4,'1','2',550000,246840,8,'1',367.0833333,1 Adequate
'730857200145',4,'3','1',180000,246500,7,'1',232.5833333,1 Adequate
'601381030133',2,'1','2',287000,246378,6,'1',117,1 Adequate
'730659310144',7,'1','3',500000,246200,9,'1',661,1 Adequate
'389871190140',7,'4','1',150000,246000,7,'1',328.6666667,1 Adequate
'303358150144',2,'4','1',260000,245550,6,'1',157,1 Adequate
'198502630133',2,'2','2',390000,245400,7,'1',280.3333333,1 Adequate
'487489130133',6,'1','2',500000,245400,12,'1',1054.666667,1 Adequate
'100206230133',3,'1','2',396000,245000,4,'1',214.3333333,1 Adequate
'289611770141',4,'4','2',850000,245000,5,'1',341.9166667,1 Adequate
'393796630133',2,'1','2',425000,245000,6,'1',205.5,1 Adequate
'400477630103',2,'2','2',600000,245000,8,'1',347.3333333,1 Adequate
'503336760140',2,'2','2',500000,245000,10,'1',344.6666667,1 Adequate
'601880190141',2,'1','2',435000,245000,10,'1',455,1 Adequate
'400143780148',3,'4','3',525000,244700,8,'1',175.5,1 Adequate
'402548560142',3,'4','1',325000,244500,9,'1',358.25,1 Adequate
'200944430103',6,'3','2',580000,244055,9,'1',449.6666667,1 Adequate
'288792970147',2,'3','1',625000,244000,8,'1',357,1 Adequate
'730426270147',4,'3','5',2465647,244000,17,'1',646,1 Adequate
'383336130133',5,'2','2',750000,243900,10,'1',592.8333333,1 Adequate
'400596130103',4,'2','1',700000,243020,9,'1',485.1666667,1 Adequate
'179583630133',5,'1','2',410000,243000,8,'1',308.6666667,1 Adequate
'499242820445',2,'1','3',375000,243000,6,'1',460.5,1 Adequate
'101384590149',6,'1','2',375000,242000,6,2,440.8333333,2 Moderately Inadequ
'389952910141',3,'4','2',400000,242000,7,'1',656.5833333,1 Adequate
'699321800446',2,'3','3',400000,242000,8,'1',304.5,1 Adequate
'737410130143',2,'4','3',350000,241500,8,'1',404.75,1 Adequate
'105493960244',2,'4','3',700000,241200,7,'1',164.25,1 Adequate
'734319210149',2,'3','2',225000,241200,8,'1',194,1 Adequate
'731873440145',5,'2','3',249000,241057,7,'1',256,1 Adequate
'731848530144',4,'2','1',260000,240400,10,'1',226.1666667,1 Adequate
'300477330103',2,'2','2',375000,240000,7,'1',233,1 Adequate
'385302490149',2,'4','1',400000,240000,6,'1',149.8333333,1 Adequate
'385029820149',2,'3','1',400000,240000,6,'1',219.5,1 Adequate
'405169570146',4,'4','3',325000,240000,7,'1',244.0833333,1 Adequate
'496336830133',3,'2','2',736500,240000,10,'1',419.5833333,1 Adequate
'580037960149',4,'4','2',900000,240000,7,'1',221,1 Adequate
'730883430144',2,'1','1',380000,240000,9,'1',495.6666667,1 Adequate
'730963420143',3,'4','2',700000,240000,9,'1',401.8333333,1 Adequate
'731778460142',2,'4','2',525000,240000,6,'1',192.9166667,1 Adequate
'289272720148',3,'3','2',825000,240000,8,'1',471.9166667,1 Adequate
'731120040242',7,'3','5',2465647,240000,9,'1',542,1 Adequate
'699829838689',4,'1','3',650000,239900,11,'1',698.6666667,1 Adequate
'732941110149',3,'4','1',340000,238060,7,'1',178.6666667,1 Adequate
'501226550147',3,'4','2',249000,238020,7,'1',466,1 Adequate
'735849910140',4,'3','3',200000,238000,7,'1',185,1 Adequate
'588681590142',4,'2','1',106000,238000,7,'1',344,1 Adequate
'200737300241',7,'1','3',300000,237492,6,'1',267.3333333,1 Adequate
'285846580148',4,'3','2',140000,237100,9,'1',458,1 Adequate
'394796230133',4,'1','2',465000,237000,8,'1',224.6666667,1 Adequate
'607926570145',3,'2','2',100000,237000,10,'1',423.8333333,1 Adequate
'731559030148',3,'2','2',500000,237000,9,'1',330,1 Adequate
'200536130103',3,'1','2',460000,235900,8,'1',433,1 Adequate
'731650710145',4,'3','3',225000,235800,9,'1',403,1 Adequate
'188629750141',3,'4','1',114000,235000,8,'1',221,1 Adequate
'200381430103',2,'1','2',2465647,235000,9,'1',188,1 Adequate
'300954930103',4,'1','1',2465647,235000,10,'1',280.6666667,1 Adequate
'603037920146',4,'4','3',1200000,235000,9,'1',614.5,1 Adequate
'699264790249',3,'4','5',275000,235000,9,'1',198.3333333,1 Adequate
'740638510147',3,'3','2',365000,235000,8,'1',490.25,1 Adequate
'388107590146',4,'3','1',400000,234500,10,'1',349.3333333,1 Adequate
'100294230103',4,'3','2',600000,234001,9,'1',510,1 Adequate
'258711180141',4,'4','1',2465647,233000,7,'1',604,1 Adequate
'300425310144',4,'1','3',500000,233000,9,'1',150,1 Adequate
'289791180143',4,'1','2',580000,232575,6,'1',293.6666667,1 Adequate
'178238180240',3,'1','2',60000,232000,6,'1',348.3333333,1 Adequate
'500336700149',2,'2','2',240000,231600,7,'1',151,1 Adequate
'588944160146',2,'3','2',350000,231450,7,'1',235.5,1 Adequate
'287558890142',2,'3','1',325000,231000,9,'1',309,1 Adequate
'730747120146',3,'1','2',65000,231000,6,'1',149,1 Adequate
'731410430143',3,'4','2',500000,231000,10,'1',592.6666667,1 Adequate
'730863050144',4,'3','2',250000,231000,6,'1',586,1 Adequate
'604963310149',5,'4','2',900000,230713,9,'1',505.4166667,1 Adequate
'685670950144',4,'4','2',480000,230340,6,'1',288.3333333,1 Adequate
'587155180142',6,'2','3',300000,230200,10,'1',184.5,1 Adequate
'736591280142',3,'3','1',375000,230050,8,'1',517,1 Adequate
'100747430133',2,'1','2',2465647,230000,9,'1',442,1 Adequate
'199026130133',4,'1','2',350000,230000,7,'1',871,1 Adequate
'284129920146',4,'4','2',680000,230000,8,'1',429,1 Adequate
'299910980246',2,'4','3',1400000,230000,7,'1',367,1 Adequate
'300758310142',4,'1','3',386000,230000,5,'1',231,1 Adequate
'301458960148',2,'1','3',900000,230000,7,'1',232.3333333,1 Adequate
'588550320148',4,'1','2',400000,230000,7,'1',411,1 Adequate
'600502930103',4,'2','2',199999,230000,7,'1',391.8333333,1 Adequate
'600562710148',2,'4','2',500000,230000,6,'1',317.3333333,1 Adequate
'678502730133',2,'2','2',380000,230000,7,'1',293.4166667,1 Adequate
'510649740147',6,'3','3',280000,230000,7,'1',445.3333333,1 Adequate
'736944550149',5,'3','3',500000,230000,9,'1',564,1 Adequate
'686174970144',4,'1','2',350000,229999,10,'1',582.6666667,1 Adequate
'165583730133',3,'1','2',400000,229600,9,'1',448.1666667,1 Adequate
'732437080148',5,'4','1',1000000,229600,8,'1',407.3333333,1 Adequate
'365583330133',4,'1','2',400000,229400,9,'1',462,1 Adequate
'388250900147',2,'3','2',650000,228560,10,'1',221.8333333,1 Adequate
'385579330142',5,'4','2',1000000,228500,9,'1',397.6666667,1 Adequate
'288871180143',4,'4','1',350000,228443,6,'1',441,1 Adequate
'686384770140',4,'1','2',500000,228300,9,'1',374.6666667,1 Adequate
'500944730103',2,'3','2',400000,228000,10,'1',601,1 Adequate
'689649200147',2,'3','2',550000,227400,10,'1',339.6666667,1 Adequate
'731250060144',5,'3','3',350000,227000,8,'1',235,1 Adequate
'687773590144',2,'2','3',120000,226287,7,'1',221.6666667,1 Adequate
'389261620141',2,'1','2',130000,226000,7,2,392.0833333,2 Moderately Inadequ
'730714010144',3,'3','2',400000,226000,8,'1',284.6666667,1 Adequate
'288250910147',4,'3','2',900000,226000,11,'1',401.3333333,1 Adequate
'200944300146',3,'3','2',300000,225250,7,'1',273.6666667,1 Adequate
'283778180148',4,'4','2',600000,225030,7,'1',281.3333333,1 Adequate
'200954330206',3,'1','1',650000,225000,5,'1',281,1 Adequate
'258502230133',2,'2','3',150000,225000,6,'1',241,1 Adequate
'201375960144',2,'3','2',800000,225000,8,'1',219,1 Adequate
'400791190146',3,'1','2',350000,225000,7,'1',234.6666667,1 Adequate
'735934000140',2,'3','2',480000,225000,8,'1',248.3333333,1 Adequate
'504963730149',3,'4','2',2465647,225000,9,'1',396.3333333,1 Adequate
'565583030133',4,'1','2',350000,225000,8,'1',500.25,1 Adequate
'601336730133',3,'2','1',580000,225000,10,'1',354,1 Adequate
'730651760143',2,'2','5',175000,225000,7,'1',145.5,1 Adequate
'731895490144',2,'2','2',635000,225000,10,'1',359,1 Adequate
'400536130103',2,'1','2',200000,224800,4,'1',293,1 Adequate
'399835750340',2,'3','5',375000,224800,10,'1',302,1 Adequate
'483850720140',2,'4','1',490000,224200,6,'1',290.1666667,1 Adequate
'300953560147',3,'3','5',800000,223000,6,'1',323.6666667,1 Adequate
'733220630141',2,'3','2',300000,223000,7,'1',383,1 Adequate
'299880920247',5,'1','2',825000,222808,9,'1',498,1 Adequate
'161929310140',2,'4','1',1000000,222500,6,'1',94,1 Adequate
'100494730147',2,'2','2',200000,222000,8,'1',414.6666667,1 Adequate
'489805320143',2,'4','1',190000,222000,8,'1',239,1 Adequate
'689273970147',3,'1','2',302000,222000,4,'1',720.6666667,1 Adequate
'733934780149',4,'3','3',300000,222000,7,'1',322,1 Adequate
'735295470146',2,'4','1',400000,222000,8,'1',426,1 Adequate
'735733830346',2,'4','2',330000,222000,5,'1',101,1 Adequate
'685206320143',5,'1','2',350000,221816,9,'1',223,1 Adequate
'609579540542',8,'4','2',600000,221500,9,'1',427.5,1 Adequate
'200294430103',4,'3','2',500000,221500,11,'1',549,1 Adequate
'730358000144',5,'4','1',1000000,221483,8,'1',577.1666667,1 Adequate
'402944160249',2,'3','2',300000,221200,4,'1',80,1 Adequate
'682319710140',4,'3','1',200000,221100,5,'1',127.6666667,1 Adequate
'201751950142',2,'3','3',600000,221050,8,'1',426.3333333,1 Adequate
'199922680449',3,'1','3',300000,221000,9,'1',499.6666667,1 Adequate
'500583830133',4,'1','2',280000,221000,8,'1',542.6666667,1 Adequate
'499845940342',2,'1','3',350000,220926,6,'1',412.1666667,1 Adequate
'187583130133',5,'1','2',230000,220900,8,'1',331,1 Adequate
'730273840141',4,'1','3',500000,220750,8,'1',457.5,1 Adequate
'588336130133',3,'2','1',330000,220600,7,'1',219,1 Adequate
'601336830133',5,'2','2',715000,220250,9,'1',356.6666667,1 Adequate
'203577960141',4,'3','2',200000,220240,9,'1',358.3333333,1 Adequate
'446150940148',3,'2','2',275000,220130,9,'1',499.3333333,1 Adequate
'105751130148',2,'3','3',370000,220000,7,'1',197,1 Adequate
'304730920147',4,'4','1',280000,220000,6,'1',369,1 Adequate
'387657750148',2,'2','2',170000,220000,6,'1',340.6666667,1 Adequate
'393596330133',2,'2','1',225000,220000,3,'1',22,1 Adequate
'401818940148',3,'4','2',900000,220000,9,'1',324.9166667,1 Adequate
'499381530133',2,'1','2',350000,220000,6,'1',473,1 Adequate
'200623430103',4,'3','5',500000,220000,8,'1',279.3333333,1 Adequate
'389234950145',2,'3','4',800000,220000,7,'1',294.5,1 Adequate
'599731850145',2,'3','2',200000,220000,9,'1',316.1666667,1 Adequate
'500247130103',2,'3','1',600000,220000,8,'1',402,1 Adequate
'734670960144',4,'4','2',480000,220000,8,'1',232.6666667,1 Adequate
'602778790148',2,'4','2',550000,219800,6,'1',255.3333333,1 Adequate
'308248350148',5,'3','2',225000,219720,8,'1',323,1 Adequate
'203751580145',4,'3','3',300000,219560,7,'1',337,1 Adequate
'683477740149',2,'2','2',325000,219152,9,'1',408.6666667,1 Adequate
'493336930133',2,'2','2',389000,218900,9,'1',384.9166667,1 Adequate
'689583160146',5,'1','2',500000,218500,7,'1',865.9166667,1 Adequate
'601336530133',4,'2','2',510000,218200,11,'1',258.6666667,1 Adequate
'730256530144',4,'1','3',700000,218000,9,'1',469.3333333,1 Adequate
'600909570147',2,'3','2',350000,218000,7,'1',369.3333333,1 Adequate
'600107730103',7,'3','1',500000,217865,10,'1',388,1 Adequate
'156853970148',4,'4','1',450000,217000,6,'1',166,1 Adequate
'283791710143',4,'1','3',450000,217000,7,'1',308,1 Adequate
'299881930244',4,'2','4',550000,217000,6,'1',186.3333333,1 Adequate
'730924150243',4,'3','1',71000,217000,7,'1',307.3333333,1 Adequate
'734589060148',3,'4','2',500000,217000,11,'1',375,1 Adequate
'587611960147',5,'4','2',800000,216510,8,'1',499.5,1 Adequate
'402944320140',2,'3','2',1200000,216200,9,'1',131.5833333,1 Adequate
'734382220142',4,'4','3',305000,216060,6,'1',269,1 Adequate
'287939320148',4,'2','2',230000,216000,7,'1',214,1 Adequate
'731553770149',2,'3','1',650000,216000,6,'1',588,1 Adequate
'699014950443',2,'3','4',450000,215560,9,'1',510.0833333,1 Adequate
'581294750149',4,'3','2',400000,215512,7,'1',431,1 Adequate
'505550120142',3,'1','3',500000,215050,8,'1',338.4166667,1 Adequate
'185963450140',5,'4','2',650000,215000,7,'1',290.3333333,1 Adequate
'733944810140',2,'3','2',430000,215000,5,'1',118.5,1 Adequate
'732944970143',1,'3','2',730000,215000,9,'1',205.3333333,1 Adequate
'287118960140',2,'3','2',215000,215000,6,'1',214.1666667,1 Adequate
'734493400141',3,'4','2',700000,215000,8,'1',469,1 Adequate
'737558140148',3,'3','2',310000,215000,8,'1',718,1 Adequate
'484493720144',6,'4','2',450000,214800,6,'1',147.1666667,1 Adequate
'585583630133',4,'1','2',254000,214600,7,'1',424,1 Adequate
'730305250142',3,'2','3',195000,214520,6,'1',351,1 Adequate
'488751700145',4,'3','2',550000,214100,9,'1',315.3333333,1 Adequate
'191336130133',3,'2','2',325000,214000,8,'1',459,1 Adequate
'200268350145',4,'3','3',375000,214000,9,'1',214.8333333,1 Adequate
'699880890347',5,'1','3',380000,214000,8,'1',288.6666667,1 Adequate
'200336430103',4,'2','3',358000,213750,7,'1',251,1 Adequate
'730240090141',2,'4','2',275000,213680,9,'1',227,1 Adequate
'188654320146',4,'4','1',350000,213640,6,'1',693.1666667,1 Adequate
'688144190140',6,'4','1',400000,213600,5,'1',119,1 Adequate
